MODE	GAMMA	C	NGRAM	BOW	F1 AVG	Round 1	Round 2	Round 3	Round 4	Round 5	Round 6	Round 7	Round 8	Round 9	Round 10
svm rbf pos neg1	1	10	[1]	200	0.2876	0.0842	0.0845	0.439	0.3636	0.371	0.3622	0.3423	0.4426	0.304	0.0825
svm rbf pos neg1	0.001	100	[1, 2]	50	0.5159	0.4966	0.5217	0.5248	0.4806	0.4961	0.5714	0.459	0.6395	0.4531	0.5161
svm rbf pos neg1	0.001	10	[1, 2]	74	0.4545	0.5669	0.5352	0.0256	0.4179	0.5315	0.5036	0.5333	0.539	0.5067	0.3852
svm rbf pos neg1	0.001	10	[1, 2]	100	0.3925	0.5286	0.56	0.5385	0.493	0	0.381	0	0.5075	0.4806	0.4361
svm rbf pos neg1	0.001	10	[1, 2]	124	0.314	0.5373	0	0.5039	0	0.5823	0	0.535	0	0.5405	0.4409
svm rbf pos neg1	0.001	10	[1, 2]	150	0.2418	0.4648	0.4932	0	0	0	0.5072	0	0.027	0.4959	0.4296
svm rbf pos neg1	1	10	[1, 2]	174	0.2002	0.446	0	0.4539	0.5616	0.4427	0.0465	0.0267	0	0.0244	0
svm rbf pos neg1	0.001	10	[1, 2]	200	0.3611	0.0244	0.4154	0.527	0.6452	0	0.5101	0	0.4567	0.6043	0.4275
svm rbf pos neg1	0.001	10	[1, 2, 3]	50	0.5008	0.3971	0.5128	0.5926	0.5197	0.5503	0.5101	0.5113	0.4132	0.4706	0.5306
svm rbf pos neg1	0.001	10	[1, 2, 3]	74	0.5341	0.4341	0.5594	0.585	0.5143	0.5103	0.5426	0.5538	0.5373	0.5369	0.5674
svm rbf pos neg1	0.001	10	[1, 2, 3]	100	0.5246	0.4783	0.5082	0.5139	0.5616	0.6029	0.5303	0.4932	0.4925	0.5441	0.5211
svm rbf pos neg1	0.001	10	[1, 2, 3]	124	0.5406	0.5507	0.5238	0.5	0.4409	0.5839	0.5203	0.539	0.6331	0.5652	0.5493
svm rbf pos neg1	0.001	10	[1, 2, 3]	150	0.4184	0.4923	0.5211	0.5068	0	0.5606	0.6154	0.4186	0.4844	0	0.5844
svm rbf pos neg1	0.001	10	[1, 2, 3]	174	0.3803	0.5441	0	0	0.5926	0.4776	0.5481	0.5532	0.5255	0.0225	0.539
svm rbf pos neg1	1	10	[1, 2, 3]	200	0.459	0.5954	0.5517	0.539	0.5694	0.5294	0.675	0.5793	0.5507	0	0
svm rbf pos neg1	0.001	100	[2, 3]	50	0.5075	0.512	0.3906	0.5612	0.5373	0.5957	0.5522	0.4823	0.4806	0.5758	0.3871
svm rbf pos neg1	0.0056	10	[2, 3]	74	0.5092	0.4853	0.4925	0.5079	0.5419	0.4348	0.4511	0.5116	0.5152	0.5546	0.597
svm rbf pos neg1	0.0056	10	[2, 3]	100	0.5386	0.5532	0.5082	0.5072	0.5538	0.5414	0.5385	0.5942	0.5139	0.5679	0.5072
svm rbf pos neg1	0.001	10	[2, 3]	124	0.5477	0.5143	0.5294	0.518	0.5289	0.5152	0.6074	0.5143	0.597	0.5634	0.589
svm rbf pos neg1	0.001	10	[2, 3]	150	0.5428	0.4844	0.6061	0.4414	0.5606	0.4186	0.4889	0.5926	0.5556	0.5828	0.697
svm rbf pos neg1	0.001	10	[2, 3]	174	0.5413	0.5324	0.5116	0.4853	0.5294	0.4874	0.6323	0.5734	0.5778	0.5079	0.5755
svm rbf pos neg1	0.001	10	[2, 3]	200	0.5468	0.5655	0.5191	0.5586	0.5606	0.5802	0.4615	0.5616	0.512	0.5442	0.6049
svm rbf pos freq	0.001	10	[1]	50	0.5019	0.6026	0.4274	0.5235	0.069	0.5755	0.5109	0.5484	0.5828	0.6234	0.5556
svm rbf pos freq	0.1778	10	[1]	74	0.3248	0.2424	0.2	0.1782	0.2247	0.5035	0.5616	0.5563	0.4965	0.0548	0.2301
svm rbf pos freq	1	10	[1]	100	0.1256	0.198	0.1379	0	0.1667	0.1895	0.1935	0.1964	0	0.1739	0
svm rbf pos freq	1	10	[1]	124	0.1136	0.1818	0	0.0667	0.1667	0.027	0.1522	0.1923	0.1224	0.2268	0
svm rbf pos freq	0.1778	10	[1]	150	0.1542	0.1702	0.1628	0.1682	0.1758	0.1414	0.0889	0.2247	0.1875	0.1	0.122
svm rbf pos freq	0.1778	10	[1]	174	0.1514	0.1099	0.0825	0.1111	0.2637	0.1463	0.1176	0.1075	0.2737	0.1882	0.1136
svm rbf pos freq	0.1778	10	[1]	200	0.1839	0.1111	0.1935	0	0.1835	0.2857	0.0952	0.1509	0.5263	0.1463	0.1463
svm rbf pos freq	0.001	10	[1, 2]	50	0.6579	0.6242	0.6538	0.702	0.7044	0.6259	0.6667	0.6165	0.7089	0.6316	0.6447
svm rbf pos freq	0.001	10	[1, 2]	74	0.6662	0.6364	0.6974	0.6832	0.6174	0.6486	0.6623	0.7073	0.6541	0.6806	0.6747
svm rbf pos freq	0.001	10	[1, 2]	100	0.6491	0.7419	0.6225	0.6531	0.5783	0.6099	0.649	0.6932	0.6707	0.6197	0.6528
svm rbf pos freq	0.001	10	[1, 2]	124	0.6428	0.5897	0.649	0.7089	0.6486	0.6115	0.6	0.6503	0.6069	0.7006	0.6627
svm rbf pos freq	0.0056	10	[1, 2]	150	0.6093	0.5789	0.6144	0.6267	0.5714	0.6165	0.5362	0.6667	0.6375	0.6369	0.6081
svm rbf pos freq	0.0056	10	[1, 2]	174	0.6154	0.6531	0.6098	0.702	0.4567	0.5957	0.7186	0.5789	0.6968	0.5263	0.6164
svm rbf pos freq	0.0056	10	[1, 2]	200	0.6074	0.5677	0.6927	0.5986	0.6107	0.5324	0.586	0.6879	0.6747	0.5556	0.5674
svm rbf pos freq	0.001	10	[1, 2, 3]	50	0.666	0.6621	0.6667	0.6757	0.703	0.6351	0.6788	0.6164	0.6622	0.6887	0.6708
svm rbf pos freq	0.001	10	[1, 2, 3]	74	0.6601	0.6497	0.7123	0.6483	0.5897	0.6069	0.6587	0.6584	0.7215	0.6974	0.6582
svm rbf pos freq	0.0056	100	[1, 2, 3]	100	0.6133	0.5867	0.6286	0.5616	0.6429	0.6792	0.5359	0.6207	0.6389	0.6541	0.5844
svm rbf pos freq	0.0056	10	[1, 2, 3]	124	0.5963	0.5674	0.5811	0.6369	0.5775	0.6494	0.5972	0.6212	0.5354	0.5714	0.626
svm rbf pos freq	0.001	10	[1, 2, 3]	150	0.5688	0.5902	0.6038	0.5323	0.4882	0.5203	0.5197	0.6207	0.5286	0.641	0.6437
svm rbf pos freq	0.0056	10	[1, 2, 3]	174	0.552	0.6071	0.4769	0.52	0.6133	0.5931	0.6087	0.5278	0.4628	0.562	0.5481
svm rbf pos freq	0.0056	10	[1, 2, 3]	200	0.5723	0.6282	0.4962	0.6242	0.6303	0.3652	0.6627	0.662	0.5755	0.6923	0.3866
svm rbf pos freq	0.001	10	[2, 3]	50	0.6183	0.5481	0.6951	0.6053	0.6667	0.5954	0.5263	0.662	0.6197	0.6962	0.5677
svm rbf pos freq	0.001	10	[2, 3]	74	0.6228	0.5695	0.5986	0.6207	0.6	0.7152	0.6164	0.6541	0.5882	0.6842	0.5811
svm rbf pos freq	0.001	10	[2, 3]	100	0.628	0.6538	0.6211	0.6154	0.6143	0.6154	0.5935	0.7	0.6667	0.6119	0.5874
svm rbf pos freq	0.001	10	[2, 3]	124	0.6372	0.6864	0.6406	0.6173	0.64	0.6797	0.5161	0.6098	0.6707	0.6289	0.6826
svm rbf pos freq	0.0056	10	[2, 3]	150	0.634	0.649	0.6623	0.5769	0.6345	0.6364	0.5733	0.6309	0.7273	0.6203	0.6296
svm rbf pos freq	0.001	10	[2, 3]	174	0.6367	0.5417	0.6875	0.6588	0.6429	0.6135	0.7143	0.5526	0.6667	0.6269	0.6623
svm rbf pos freq	0.001	10	[2, 3]	200	0.6649	0.6941	0.6832	0.6541	0.6821	0.6759	0.6584	0.6375	0.6707	0.6174	0.6759
